"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"0 - 9","CH",202009,2,2,0.036,3.6,873043,0.23,0.23,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202010,4,6,0.011,1.1,873043,0.46,0.69,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202011,13,19,0.006,0.6,873043,1.49,2.18,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202012,26,45,0.004,0.4,873043,2.98,5.15,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202013,16,61,0.002,0.2,873043,1.83,6.99,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202014,23,84,0.004,0.4,873043,2.63,9.62,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202015,17,101,0.005,0.5,873043,1.95,11.57,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202016,9,110,0.005,0.5,873043,1.03,12.6,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202017,8,118,0.007,0.7,873043,0.92,13.52,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202018,19,137,0.027,2.7,873043,2.18,15.69,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202019,13,150,0.032,3.2,873043,1.49,17.18,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202020,8,158,0.035,3.5,873043,0.92,18.1,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202021,6,164,0.039,3.9,873043,0.69,18.78,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202022,7,171,0.056,5.6,873043,0.8,19.59,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202023,5,176,0.051,5.1,873043,0.57,20.16,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202024,14,190,0.1,10,873043,1.6,21.76,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202025,7,197,0.041,4.1,873043,0.8,22.56,"COVID19Cases","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
