"geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"CH",202009,0,0,NA,NA,8606033,0,0,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202010,3,3,1,100,8606033,0.03,0.03,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202011,25,28,1,100,8606033,0.29,0.33,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202012,99,127,1,100,8606033,1.15,1.48,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202013,254,381,1,100,8606033,2.95,4.43,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202014,381,762,1,100,8606033,4.43,8.85,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202015,343,1105,1,100,8606033,3.99,12.84,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202016,240,1345,1,100,8606033,2.79,15.63,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202017,194,1539,1,100,8606033,2.25,17.88,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202018,89,1628,1,100,8606033,1.03,18.92,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202019,54,1682,1,100,8606033,0.63,19.54,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202020,17,1699,1,100,8606033,0.2,19.74,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202021,14,1713,1,100,8606033,0.16,19.9,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202022,4,1717,1,100,8606033,0.05,19.95,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202023,1,1718,1,100,8606033,0.01,19.96,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202024,4,1722,1,100,8606033,0.05,20.01,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202025,2,1724,1,100,8606033,0.02,20.03,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202026,1,1725,1,100,8606033,0.01,20.04,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202027,2,1727,1,100,8606033,0.02,20.07,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202028,2,1729,1,100,8606033,0.02,20.09,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202029,4,1733,1,100,8606033,0.05,20.14,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202030,5,1738,1,100,8606033,0.06,20.2,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202031,5,1743,1,100,8606033,0.06,20.25,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202032,5,1748,1,100,8606033,0.06,20.31,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202033,5,1753,1,100,8606033,0.06,20.37,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202034,5,1758,1,100,8606033,0.06,20.43,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202035,4,1762,1,100,8606033,0.05,20.47,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202036,13,1775,1,100,8606033,0.15,20.63,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202037,17,1792,1,100,8606033,0.2,20.82,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202038,15,1807,1,100,8606033,0.17,21,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202039,13,1820,1,100,8606033,0.15,21.15,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202040,11,1831,1,100,8606033,0.13,21.28,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202041,17,1848,1,100,8606033,0.2,21.47,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202042,45,1893,1,100,8606033,0.52,22,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202043,142,2035,1,100,8606033,1.65,23.65,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202044,317,2352,1,100,8606033,3.68,27.33,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202045,547,2899,1,100,8606033,6.36,33.69,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202046,604,3503,1,100,8606033,7.02,40.7,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202047,594,4097,1,100,8606033,6.9,47.61,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202048,602,4699,1,100,8606033,7,54.6,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202049,586,5285,1,100,8606033,6.81,61.41,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202050,591,5876,1,100,8606033,6.87,68.28,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202051,625,6501,1,100,8606033,7.26,75.54,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202052,584,7085,1,100,8606033,6.79,82.33,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202053,522,7607,1,100,8606033,6.07,88.39,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202101,402,8009,1,100,8606033,4.67,93.06,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202102,353,8362,1,100,8606033,4.1,97.16,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202103,319,8681,1,100,8606033,3.71,100.87,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202104,220,8901,1,100,8606033,2.56,103.43,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202105,154,9055,1,100,8606033,1.79,105.22,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202106,122,9177,1,100,8606033,1.42,106.63,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202107,81,9258,1,100,8606033,0.94,107.58,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202108,56,9314,1,100,8606033,0.65,108.23,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-08",TRUE,TRUE,TRUE,TRUE,FALSE
"CH",202109,53,9367,1,100,8606033,0.62,108.84,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-09",TRUE,TRUE,TRUE,TRUE,FALSE
"CH",202110,65,9432,1,100,8606033,0.76,109.6,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,TRUE
"CH",202111,55,9487,1,100,8606033,0.64,110.24,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,TRUE
"CH",202112,11,9498,1,100,8606033,0.13,110.36,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-12",FALSE,FALSE,FALSE,FALSE,FALSE
"CHFL",202009,0,0,NA,NA,8644780,0,0,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202010,3,3,1,100,8644780,0.03,0.03,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
