"date","geoRegion","altersklasse_covid19","entries","type_variant","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity","freq","prct"
202052,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202053,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202101,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202102,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202103,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202104,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202105,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202106,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202107,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202108,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202109,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202110,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202111,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202052,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202053,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202101,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202102,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202103,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202104,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202105,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202106,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202107,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202108,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202109,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202110,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202111,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202052,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202053,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202101,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202102,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,0.05,0,1,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202103,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,0.05,0,1,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202104,"AI","20 - 29",6,"altersklasse_covid19",2104,6,0.29,0.11,0.29,2.29,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0.065,6.5
202105,"AI","20 - 29",1,"altersklasse_covid19",2104,7,0.05,0.11,0.33,2.29,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0.003,0.3
202106,"AI","20 - 29",0,"altersklasse_covid19",2104,7,0,0.11,0.33,2.29,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202107,"AI","20 - 29",9,"altersklasse_covid19",2104,16,0.43,0.12,0.76,2.43,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0.024,2.4
202108,"AI","20 - 29",0,"altersklasse_covid19",2104,16,0,0.08,0.76,1.57,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202109,"AI","20 - 29",0,"altersklasse_covid19",2104,16,0,NA,0.76,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202110,"AI","20 - 29",1,"altersklasse_covid19",2104,17,0.05,NA,0.81,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0.011,1.1
202111,"AI","20 - 29",0,"altersklasse_covid19",2104,17,0,NA,0.81,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202052,"AI","30 - 39",0,"altersklasse_covid19",2008,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202053,"AI","30 - 39",0,"altersklasse_covid19",2008,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202101,"AI","30 - 39",0,"altersklasse_covid19",2008,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202102,"AI","30 - 39",0,"altersklasse_covid19",2008,0,0,0.03,0,0.57,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202103,"AI","30 - 39",0,"altersklasse_covid19",2008,0,0,0.05,0,1,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",NA,NA
202104,"AI","30 - 39",2,"altersklasse_covid19",2008,2,0.1,0.09,0.1,1.71,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0.022,2.2
202105,"AI","30 - 39",2,"altersklasse_covid19",2008,4,0.1,0.09,0.2,1.71,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0.007,0.7
202106,"AI","30 - 39",3,"altersklasse_covid19",2008,7,0.15,0.09,0.35,1.71,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0.016,1.6
202107,"AI","30 - 39",5,"altersklasse_covid19",2008,12,0.25,0.11,0.6,2.14,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0.013,1.3
202108,"AI","30 - 39",0,"altersklasse_covid19",2008,12,0,0.09,0.6,1.86,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
202109,"AI","30 - 39",0,"altersklasse_covid19",2008,12,0,NA,0.6,NA,"COVID19FullyVaccPersons","2021-03-23_09-08-35","detailed",0,0
