"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"male","CH",202009,26,26,0.5,50,4268863,0.61,0.61,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202010,58,84,0.523,52.3,4268863,1.36,1.97,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202011,196,280,0.563,56.3,4268863,4.59,6.56,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202012,513,793,0.614,61.4,4268863,12.02,18.58,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202013,731,1524,0.63,63,4268863,17.12,35.7,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202014,418,1942,0.629,62.9,4268863,9.79,45.49,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202015,217,2159,0.599,59.9,4268863,5.08,50.58,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202016,127,2286,0.583,58.3,4268863,2.98,53.55,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202017,61,2347,0.575,57.5,4268863,1.43,54.98,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202018,32,2379,0.5,50,4268863,0.75,55.73,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202019,17,2396,0.548,54.8,4268863,0.4,56.13,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202020,13,2409,0.52,52,4268863,0.3,56.43,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202021,5,2414,0.333,33.3,4268863,0.12,56.55,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202022,10,2424,0.526,52.6,4268863,0.23,56.78,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202023,4,2428,0.8,80,4268863,0.09,56.88,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202024,4,2432,0.571,57.1,4268863,0.09,56.97,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202025,9,2441,0.529,52.9,4268863,0.21,57.18,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202026,9,2450,0.529,52.9,4268863,0.21,57.39,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202027,22,2472,0.579,57.9,4268863,0.52,57.91,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202028,33,2505,0.611,61.1,4268863,0.77,58.68,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202029,23,2528,0.657,65.7,4268863,0.54,59.22,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202030,40,2568,0.69,69,4268863,0.94,60.16,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202031,35,2603,0.565,56.5,4268863,0.82,60.98,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202032,29,2632,0.592,59.2,4268863,0.68,61.66,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"male","CH",202033,22,2654,0.415,41.5,4268863,0.52,62.17,"COVID19Hosp","sex","2021-03-24_07-49-49","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
