"geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"CH",202009,52,52,1,100,8606033,0.6,0.6,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202010,111,163,1,100,8606033,1.29,1.89,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202011,348,511,1,100,8606033,4.04,5.94,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202012,836,1347,1,100,8606033,9.71,15.65,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202013,1161,2508,1,100,8606033,13.49,29.14,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202014,665,3173,1,100,8606033,7.73,36.87,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202015,362,3535,1,100,8606033,4.21,41.08,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202016,218,3753,1,100,8606033,2.53,43.61,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202017,106,3859,1,100,8606033,1.23,44.84,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202018,64,3923,1,100,8606033,0.74,45.58,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202019,31,3954,1,100,8606033,0.36,45.94,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202020,25,3979,1,100,8606033,0.29,46.24,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202021,15,3994,1,100,8606033,0.17,46.41,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202022,19,4013,1,100,8606033,0.22,46.63,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202023,5,4018,1,100,8606033,0.06,46.69,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202024,7,4025,1,100,8606033,0.08,46.77,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202025,17,4042,1,100,8606033,0.2,46.97,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202026,17,4059,1,100,8606033,0.2,47.16,"COVID19Hosp","","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
