"type_variant","type","entries","geoRegion","datum","date_unit","version"
"","COVID19CT_Iso",12316,"CHFL",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Qua",21461,"CHFL",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Entry",3004,"CHFL",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_reporting_cantons",20,"CHFL",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",12280,"CH",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Qua",21419,"CH",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Entry",2978,"CH",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_reporting_cantons",20,"CH",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",1659,"AG",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",20,"AI",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",139,"AR",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",905,"BE",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",432,"BL",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",36,"FL",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",406,"FR",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",1185,"GE",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",168,"GR",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",76,"JU",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",230,"NE",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",43,"NW",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",35,"OW",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",1624,"SG",2021-03-24,"day","2021-03-24_07-49-49"
"","COVID19CT_Iso",68,"SH",2021-03-24,"day","2021-03-24_07-49-49"
