"datum","entries","entries_pos","entries_neg","sumTotal","timeframe_7d","sumTotal_last7d","timeframe_14d","sumTotal_last14d","timeframe_28d","sumTotal_last28d","timeframe_phase2","sumTotal_Phase2","timeframe_phase2b","sumTotal_Phase2b","sum7d","sum14d","mean7d","mean14d","pos_anteil","pos_anteil_mean7d","timeframe_all","anteil_pos_all","anteil_pos_14","anteil_pos_28","anteil_pos_phase2","anteil_pos_phase2b","pop","inz_entries","inzmean7d","inzmean14d","inzsumTotal","inzsumTotal_last7d","inzsumTotal_last14d","inzsumTotal_last28d","inzsumTotal_Phase2","inzsumTotal_Phase2b","inzsum7d","inzsum14d","entries_diff_last_age","entries_diff_last","type","version","datum_unit","nachweismethode","geoRegion"
2020-02-06,1,0,1,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,NA,NA,0,NA,TRUE,11,5,4.9,11.2,12.9,8644780,0.01,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-02-12,1,0,1,2,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,NA,NA,0,NA,TRUE,11,5,4.9,11.2,12.9,8644780,0.01,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-02-24,33,1,32,35,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,NA,NA,3,NA,TRUE,11,5,4.9,11.2,12.9,8644780,0.38,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-02-25,159,0,159,194,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,175.71,NA,0,1.69,TRUE,11,5,4.9,11.2,12.9,8644780,1.84,2.03,NA,2.24,NA,NA,NA,NA,NA,NA,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-02-26,317,8,309,511,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,211.86,NA,2.5,2.47,TRUE,11,5,4.9,11.2,12.9,8644780,3.67,2.45,NA,5.91,NA,NA,NA,NA,NA,NA,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-02-27,278,11,267,789,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,NA,NA,264.71,NA,4,3.17,TRUE,11,5,4.9,11.2,12.9,8644780,3.22,3.06,NA,9.13,NA,NA,NA,NA,NA,NA,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-02-28,441,10,431,1230,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1230,NA,327.71,370,2.3,3.37,TRUE,11,5,4.9,11.2,12.9,8644780,5.1,3.79,4.28,14.23,NA,NA,NA,NA,NA,14.23,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-02-29,254,14,240,1484,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1483,NA,407,421.86,5.5,4.69,TRUE,11,5,4.9,11.2,12.9,8644780,2.94,4.71,4.88,17.17,NA,NA,NA,NA,NA,17.15,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-01,371,18,353,1855,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1853,NA,446.43,474.93,4.9,6.36,TRUE,11,5,4.9,11.2,12.9,8644780,4.29,5.16,5.49,21.46,NA,NA,NA,NA,NA,21.43,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-02,474,21,453,2329,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2294,NA,490.57,589.07,4.4,9,TRUE,11,5,4.9,11.2,12.9,8644780,5.48,5.67,6.81,26.94,NA,NA,NA,NA,NA,26.54,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-03,714,66,648,3043,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,2849,NA,564.29,732.86,9.2,10.11,TRUE,11,5,4.9,11.2,12.9,8644780,8.26,6.53,8.48,35.2,NA,NA,NA,NA,NA,32.96,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-04,593,84,509,3636,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,3125,NA,631.86,904.79,14.2,10.64,TRUE,11,5,4.9,11.2,12.9,8644780,6.86,7.31,10.47,42.06,NA,NA,NA,NA,NA,36.15,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-05,587,132,455,4223,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,3434,NA,685.14,1216,22.5,11.63,TRUE,11,5,4.9,11.2,12.9,8644780,6.79,7.93,14.07,48.85,NA,NA,NA,NA,NA,39.72,NA,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-06,957,97,860,5180,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,3950,5180,850.43,1519.43,10.1,12.29,TRUE,11,5,4.9,11.2,12.9,8644780,11.07,9.84,17.58,59.92,NA,NA,NA,NA,NA,45.69,59.92,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-07,727,67,660,5907,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,4423,5906,1058.71,1875.86,9.2,12.39,TRUE,11,5,4.9,11.2,12.9,8644780,8.41,12.25,21.7,68.33,NA,NA,NA,NA,NA,51.16,68.32,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-08,744,88,656,6651,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,4796,6649,1363.14,2029.64,11.8,12.31,TRUE,11,5,4.9,11.2,12.9,8644780,8.61,15.77,23.48,76.94,NA,NA,NA,NA,NA,55.48,76.91,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-09,1631,147,1484,8282,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5953,8247,1941.43,2372.86,9,10.1,TRUE,11,5,4.9,11.2,12.9,8644780,18.87,22.46,27.45,95.8,NA,NA,NA,NA,NA,68.86,95.4,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-10,2172,215,1957,10454,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,7411,10260,2474.57,2990.07,9.9,9.96,TRUE,11,5,4.9,11.2,12.9,8644780,25.12,28.63,34.59,120.93,NA,NA,NA,NA,NA,85.73,118.68,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-11,2724,372,2352,13178,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,9542,12667,3119.86,3704.21,13.7,9.94,TRUE,11,5,4.9,11.2,12.9,8644780,31.51,36.09,42.85,152.44,NA,NA,NA,NA,NA,110.38,146.53,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-12,4635,324,4311,17813,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,13590,17024,3374.14,4349.21,7,10.31,TRUE,11,5,4.9,11.2,12.9,8644780,53.62,39.03,50.31,206.05,NA,NA,NA,NA,NA,157.2,196.93,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-13,4689,426,4263,22502,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,17322,21272,3895.29,4858.14,9.1,10.36,TRUE,11,5,4.9,11.2,12.9,8644780,54.24,45.06,56.2,260.3,NA,NA,NA,NA,NA,200.38,246.07,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-14,5244,479,4765,27746,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,21839,26262,4921.43,5262.86,9.1,10.57,TRUE,11,5,4.9,11.2,12.9,8644780,60.66,56.93,60.88,320.96,NA,NA,NA,NA,NA,252.63,303.79,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-15,2524,363,2161,30270,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,23619,28415,6045.29,5444.64,14.4,10.39,TRUE,11,5,4.9,11.2,12.9,8644780,29.2,69.93,62.98,350.15,NA,NA,NA,NA,NA,273.22,328.7,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-16,5279,489,4790,35549,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,27267,33220,6757,5802.5,9.3,11.39,TRUE,11,5,4.9,11.2,12.9,8644780,61.07,78.16,67.12,411.22,NA,NA,NA,NA,NA,315.42,384.28,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-17,9355,1062,8293,44904,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,34450,41861,7241.71,6061.43,11.4,12.27,TRUE,11,5,4.9,11.2,12.9,8644780,108.22,83.77,70.12,519.43,NA,NA,NA,NA,NA,398.51,484.23,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-18,10591,1315,9276,55495,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,42317,51859,7405.86,6414.36,12.4,13.5,TRUE,11,5,4.9,11.2,12.9,8644780,122.51,85.67,74.2,641.95,NA,NA,NA,NA,NA,489.51,599.89,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-19,9617,1346,8271,65112,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,47299,60889,7515.14,6644.86,14,14.93,TRUE,11,5,4.9,11.2,12.9,8644780,111.25,86.93,76.87,753.19,NA,NA,NA,NA,NA,547.14,704.34,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-20,8082,1240,6842,73194,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,50692,68014,7709.71,6824,15.3,16.31,TRUE,11,5,4.9,11.2,12.9,8644780,93.49,89.18,78.94,846.68,NA,NA,NA,NA,NA,586.39,786.76,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-21,6393,1133,5260,79587,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,51841,73680,7201.43,6861.07,17.7,18.41,TRUE,11,5,4.9,11.2,12.9,8644780,73.95,83.3,79.37,920.64,NA,NA,NA,NA,NA,599.68,852.31,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-22,3289,804,2485,82876,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,52606,76225,6783.43,6877.93,24.4,18.84,TRUE,11,5,4.9,11.2,12.9,8644780,38.05,78.47,79.56,958.68,NA,NA,NA,NA,NA,608.53,881.75,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-23,6641,1259,5382,89517,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,53968,81235,6532.71,6821.43,19,19.23,TRUE,11,5,4.9,11.2,12.9,8644780,76.82,75.57,78.91,1035.5,NA,NA,NA,NA,NA,624.28,939.7,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-24,5797,1514,4283,95314,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,50410,84860,6406.29,6661.86,26.1,19.7,TRUE,11,5,4.9,11.2,12.9,8644780,67.06,74.11,77.06,1102.56,NA,NA,NA,NA,NA,583.13,981.63,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-25,7665,1183,6482,102979,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,47484,89801,6316.29,6380.86,15.4,19.67,TRUE,11,5,4.9,11.2,12.9,8644780,88.67,73.06,73.81,1191.23,NA,NA,NA,NA,NA,549.28,1038.79,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-26,7862,1313,6549,110841,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,45729,93028,6240.71,6191.07,16.7,19.17,TRUE,11,5,4.9,11.2,12.9,8644780,90.95,72.19,71.62,1282.17,NA,NA,NA,NA,NA,528.98,1076.12,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-27,7197,1339,5858,118038,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,44844,95536,5933.14,6079,18.6,19.94,TRUE,11,5,4.9,11.2,12.9,8644780,83.25,68.63,70.32,1365.43,NA,NA,NA,NA,NA,518.74,1105.13,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-28,5763,1006,4757,123801,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,44214,96055,6122.29,5994.07,17.5,18.99,TRUE,11,5,4.9,11.2,12.9,8644780,66.66,70.82,69.34,1432.09,NA,NA,NA,NA,NA,511.45,1111.13,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-29,2760,576,2184,126561,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,43685,96291,5978.29,5995.21,20.9,19.2,TRUE,11,5,4.9,11.2,12.9,8644780,31.93,69.15,69.35,1464.02,NA,NA,NA,NA,NA,505.33,1113.86,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-30,4488,1097,3391,131049,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,41532,95500,5849.43,5814.07,24.4,19,TRUE,11,5,4.9,11.2,12.9,8644780,51.92,67.66,67.26,1515.93,NA,NA,NA,NA,NA,480.43,1104.71,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-03-31,7121,1382,5739,138170,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,42856,93266,5751.71,5889.64,19.4,18.61,TRUE,11,5,4.9,11.2,12.9,8644780,82.37,66.53,68.13,1598.31,NA,NA,NA,NA,NA,495.74,1078.87,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-01,6657,1126,5531,144827,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,41848,89332,5671.86,5810.79,16.9,18.04,TRUE,11,5,4.9,11.2,12.9,8644780,77.01,65.61,67.22,1675.31,NA,NA,NA,NA,NA,484.08,1033.36,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-02,6960,1063,5897,151787,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,40946,86675,5749.71,5678.93,15.3,16.74,TRUE,11,5,4.9,11.2,12.9,8644780,80.51,66.51,65.69,1755.82,NA,NA,NA,NA,NA,473.65,1002.63,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-03,6513,1038,5475,158300,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,40262,85106,5695,5449.07,15.9,15.87,TRUE,11,5,4.9,11.2,12.9,8644780,75.34,65.88,63.03,1831.16,NA,NA,NA,NA,NA,465.74,984.48,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-04,5204,705,4499,163504,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,39703,83917,5657,5236.79,13.5,15.13,TRUE,11,5,4.9,11.2,12.9,8644780,60.2,65.44,60.58,1891.36,NA,NA,NA,NA,NA,459.27,970.72,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-05,3305,389,2916,166809,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,40248,83933,5643.29,5203.86,11.8,14.44,TRUE,11,5,4.9,11.2,12.9,8644780,38.23,65.28,60.2,1929.59,NA,NA,NA,NA,NA,465.58,970.91,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-06,4105,752,3353,170914,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,39865,81397,5508.43,5040.07,18.3,13.97,TRUE,11,5,4.9,11.2,12.9,8644780,47.49,63.72,58.3,1977.08,NA,NA,NA,NA,NA,461.15,941.57,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-07,6855,974,5881,177769,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,39599,82455,5146.43,4811.57,14.2,13.24,TRUE,11,5,4.9,11.2,12.9,8644780,79.3,59.53,55.66,2056.37,NA,NA,NA,NA,NA,458.07,953.81,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-08,6561,797,5764,184330,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,39503,81351,4801.71,4735.14,12.1,13.24,TRUE,11,5,4.9,11.2,12.9,8644780,75.9,55.54,54.77,2132.27,NA,NA,NA,NA,NA,456.96,941.04,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-09,6016,722,5294,190346,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,38559,79505,4658,4604.57,12,13.29,TRUE,11,5,4.9,11.2,12.9,8644780,69.59,53.88,53.26,2201.86,NA,NA,NA,NA,NA,446.04,919.69,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
2020-04-10,3979,429,3550,194325,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,36025,76287,4385.14,4467.71,10.8,12.61,TRUE,11,5,4.9,11.2,12.9,8644780,46.03,50.73,51.68,2247.89,NA,NA,NA,NA,NA,416.73,882.46,1,45471,"COVID19Tests","2021-03-24_07-49-49","day","all","CHFL"
