"date","geoRegion","sex","entries","type_variant","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity","freq","prct"
202052,"AI","male",9,"sex",8303,9,0.11,NA,0.11,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.205,20.5
202053,"AI","male",0,"sex",8303,9,0,NA,0.11,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"AI","male",180,"sex",8303,189,2.17,NA,2.28,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.511,51.1
202102,"AI","male",94,"sex",8303,283,1.13,1.19,3.41,98.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.485,48.5
202103,"AI","male",177,"sex",8303,460,2.13,1.41,5.54,117.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.494,49.4
202104,"AI","male",68,"sex",8303,528,0.82,1.75,6.36,145.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.391,39.1
202105,"AI","male",163,"sex",8303,691,1.96,1.53,8.32,127,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.509,50.9
202106,"AI","male",139,"sex",8303,830,1.67,1.43,10,118.57,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.473,47.3
202107,"AI","male",196,"sex",8303,1026,2.36,1.21,12.36,100.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.489,48.9
202108,"AI","male",52,"sex",8303,1078,0.63,1.1,12.98,91.57,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.486,48.6
202109,"AI","male",35,"sex",8303,1113,0.42,NA,13.4,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.467,46.7
202110,"AI","male",48,"sex",8303,1161,0.58,NA,13.98,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.457,45.7
202111,"AI","male",8,"sex",8303,1169,0.1,NA,14.08,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.364,36.4
202052,"AI","female",35,"sex",7825,35,0.45,NA,0.45,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.795,79.5
202053,"AI","female",0,"sex",7825,35,0,NA,0.45,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"AI","female",172,"sex",7825,207,2.2,NA,2.65,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.489,48.9
202102,"AI","female",100,"sex",7825,307,1.28,1.37,3.92,107.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.515,51.5
202103,"AI","female",181,"sex",7825,488,2.31,1.59,6.24,124.43,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.506,50.6
202104,"AI","female",106,"sex",7825,594,1.35,1.96,7.59,153.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.609,60.9
202105,"AI","female",157,"sex",7825,751,2.01,1.75,9.6,137,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.491,49.1
202106,"AI","female",155,"sex",7825,906,1.98,1.64,11.58,128.43,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.527,52.7
202107,"AI","female",205,"sex",7825,1111,2.62,1.41,14.2,110.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.511,51.1
202108,"AI","female",55,"sex",7825,1166,0.7,1.25,14.9,97.57,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.514,51.4
202109,"AI","female",40,"sex",7825,1206,0.51,NA,15.41,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.533,53.3
202110,"AI","female",57,"sex",7825,1263,0.73,NA,16.14,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.543,54.3
202111,"AI","female",14,"sex",7825,1277,0.18,NA,16.32,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.636,63.6
202052,"AI","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202053,"AI","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"AI","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202102,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202103,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202104,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202105,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202106,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
