"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"male","CH",202009,0,0,NA,NA,4268863,0,0,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202010,2,2,0.667,66.7,4268863,0.05,0.05,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202011,15,17,0.6,60,4268863,0.35,0.4,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202012,59,76,0.596,59.6,4268863,1.38,1.78,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202013,169,245,0.665,66.5,4268863,3.96,5.74,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202014,232,477,0.609,60.9,4268863,5.43,11.17,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202015,183,660,0.534,53.4,4268863,4.29,15.46,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202016,123,783,0.512,51.2,4268863,2.88,18.34,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202017,97,880,0.5,50,4268863,2.27,20.61,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202018,50,930,0.562,56.2,4268863,1.17,21.79,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202019,32,962,0.593,59.3,4268863,0.75,22.54,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202020,11,973,0.647,64.7,4268863,0.26,22.79,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202021,8,981,0.571,57.1,4268863,0.19,22.98,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202022,2,983,0.5,50,4268863,0.05,23.03,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"male","CH",202023,1,984,1,100,4268863,0.02,23.05,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
