"date","geoRegion","ICU_AllPatients","ICU_Covid19Patients","ICU_Capacity","Total_AllPatients","Total_Covid19Patients","Total_Capacity","ICU_NonCovid19Patients","ICU_FreeCapacity","Total_NonCovid19Patients","Total_FreeCapacity","timeframe_14d","timeframe_28d","timeframe_phase2","timeframe_phase2b","timeframe_all","Total_Capacity_mean15d","Total_AllPatients_mean15d","Total_Covid19Patients_mean15d","Total_NonCovid19Patients_mean15d","Total_FreeCapacity_mean15d","ICU_Capacity_mean15d","ICU_AllPatients_mean15d","ICU_Covid19Patients_mean15d","ICU_NonCovid19Patients_mean15d","ICU_FreeCapacity_mean15d","type_variant","ICUPercent_AllPatients","ICUPercent_NonCovid19Patients","ICUPercent_Covid19Patients","ICUPercent_FreeCapacity","ICUPercent_Capacity","TotalPercent_AllPatients","TotalPercent_NonCovid19Patients","TotalPercent_Covid19Patients","TotalPercent_FreeCapacity","TotalPercent_Capacity","type","version"
2020-03-30,"AG",38,21,72,403,56,969,17,34,347,566,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",52.8,23.6,29.2,47.2,100,41.6,35.8,5.8,58.4,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-03-30,"AI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-03-30,"AR",1,1,10,123,1,284,0,9,122,161,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",10,0,10,90,100,43.3,43,0.4,56.7,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-03-30,"BE",75,21,129,416,80,853,54,54,336,437,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",58.1,41.9,16.3,41.9,100,48.8,39.4,9.4,51.2,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-03-30,"BL",20,17,28,355,64,614,3,8,291,259,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",71.4,10.7,60.7,28.6,100,57.8,47.4,10.4,42.2,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-03-30,"BS",30,15,51,415,56,828,15,21,359,413,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",58.8,29.4,29.4,41.2,100,50.1,43.4,6.8,49.9,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-03-30,"FR",20,20,30,323,77,600,0,10,246,277,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",66.7,0,66.7,33.3,100,53.8,41,12.8,46.2,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-03-30,"GE",69,61,110,90,81,2485,8,41,9,2395,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",62.7,7.3,55.5,37.3,100,3.6,0.4,3.3,96.4,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-03-30,"GL",7,2,14,7,6,101,5,7,1,94,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",50,35.7,14.3,50,100,6.9,1,5.9,93.1,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-03-30,"GR",9,9,28,245,38,566,0,19,207,321,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",32.1,0,32.1,67.9,100,43.3,36.6,6.7,56.7,100,"COVID19HospCapacity","2021-03-24_08-05-44"
