"geoRegion","geoLevel","quarantineStart","quarantineEnd","type","version"
"CH","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AD","ISO2",2020-08-20,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AE","ISO2",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AF","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AG","ISO2",2021-03-08,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"AI","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AL","ISO2",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AM","ISO2",2020-07-06,2020-11-23,"COVID19IntQua","2021-03-24_00-00-00"
"AO","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AQ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AR","ISO2",2020-07-06,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"AS","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AT11","NUTS-2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AT12","NUTS-2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AT13","NUTS-2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AT21","NUTS-2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AT22","NUTS-2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AT31","NUTS-2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AT32","NUTS-2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AT33","NUTS-2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AT34","NUTS-2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AU","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AW","ISO2",2021-01-15,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AX","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"AZ","ISO2",2020-07-06,2020-08-08,"COVID19IntQua","2021-03-24_00-00-00"
"BA","ISO2",2021-04-05,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BB","ISO2",2021-03-08,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"BD","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BE","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BF","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BG","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BH","ISO2",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BI","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BJ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BL","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BN","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BO","ISO2",2020-07-06,2020-10-12,"COVID19IntQua","2021-03-24_00-00-00"
"BQ","ISO2",2021-01-15,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BR","ISO2",2021-01-21,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BS","ISO2",2020-08-08,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"BT","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BV","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BW","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"BY","ISO2",2020-07-06,2020-07-23,"COVID19IntQua","2021-03-24_00-00-00"
"BZ","ISO2",2020-12-28,2021-01-07,"COVID19IntQua","2021-03-24_00-00-00"
"CA","ISO2",2020-10-12,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"CC","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CD","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CF","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CG","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CI","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CK","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CL","ISO2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CN","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CO","ISO2",2021-02-22,2021-02-25,"COVID19IntQua","2021-03-24_00-00-00"
"CR","ISO2",2020-07-23,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"CU","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CV","ISO2",2020-07-06,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"CW","ISO2",2021-01-15,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CX","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CY","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"CZ","ISO2",2021-01-15,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DE1","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DE2","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DE3","NUTS-1",2020-10-12,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"DE4","NUTS-1",2021-02-22,2021-02-25,"COVID19IntQua","2021-03-24_00-00-00"
"DE5","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DE6","NUTS-1",2020-10-12,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"DE7","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DE8","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DE9","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DEA","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DEB","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
