TodJahr,TodMonat,Geschlecht,Alter,COUNT
2021,1,F,0,15
2021,1,F,5,1
2021,1,F,7,1
2021,1,F,8,1
2021,1,F,14,1
2021,1,F,15,1
2021,1,F,17,1
2021,1,F,19,1
2021,1,F,21,1
2021,1,F,23,1
2021,1,F,24,1
2021,1,F,25,1
2021,1,F,27,1
2021,1,F,29,2
2021,1,F,30,2
2021,1,F,31,2
2021,1,F,33,2
2021,1,F,34,1
2021,1,F,35,2
2021,1,F,36,1
2021,1,F,37,2
2021,1,F,38,2
2021,1,F,39,2
2021,1,F,40,1
2021,1,F,41,1
2021,1,F,42,1
2021,1,F,43,1
2021,1,F,44,4
2021,1,F,45,8
2021,1,F,46,3
2021,1,F,47,3
2021,1,F,48,5
2021,1,F,49,6
2021,1,F,50,5
2021,1,F,51,3
2021,1,F,52,14
2021,1,F,53,8
2021,1,F,54,11
2021,1,F,55,10
2021,1,F,56,11
2021,1,F,57,20
2021,1,F,58,25
2021,1,F,59,19
2021,1,F,60,18
2021,1,F,61,21
2021,1,F,62,22
2021,1,F,63,22
2021,1,F,64,21
2021,1,F,65,21
2021,1,F,66,24
2021,1,F,67,29
2021,1,F,68,25
2021,1,F,69,39
2021,1,F,70,33
2021,1,F,71,32
2021,1,F,72,39
2021,1,F,73,56
2021,1,F,74,64
2021,1,F,75,58
2021,1,F,76,77
2021,1,F,77,72
2021,1,F,78,100
2021,1,F,79,80
2021,1,F,80,88
2021,1,F,81,111
2021,1,F,82,117
2021,1,F,83,136
2021,1,F,84,136
2021,1,F,85,142
2021,1,F,86,163
2021,1,F,87,181
2021,1,F,88,175
2021,1,F,89,215
2021,1,F,90,235
2021,1,F,91,186
2021,1,F,92,174
2021,1,F,93,162
2021,1,F,94,172
2021,1,F,95,129
2021,1,F,96,103
2021,1,F,97,86
2021,1,F,98,60
2021,1,F,99,60
2021,1,F,100,35
2021,1,F,101,9
2021,1,F,102,11
2021,1,F,103,6
2021,1,F,104,2
2021,1,F,105,3
2021,1,M,0,10
2021,1,M,1,1
2021,1,M,14,1
2021,1,M,16,1
2021,1,M,17,1
2021,1,M,18,3
2021,1,M,19,1
2021,1,M,21,1
2021,1,M,23,1
2021,1,M,24,3
2021,1,M,25,1
2021,1,M,26,2
2021,1,M,27,3
2021,1,M,28,1
2021,1,M,30,2
2021,1,M,31,3
2021,1,M,32,5
2021,1,M,33,3
2021,1,M,34,1
2021,1,M,35,3
2021,1,M,36,2
2021,1,M,37,3
2021,1,M,38,4
2021,1,M,39,4
2021,1,M,40,4
2021,1,M,41,7
2021,1,M,43,6
2021,1,M,44,5
2021,1,M,45,7
2021,1,M,46,5
2021,1,M,47,6
2021,1,M,48,8
2021,1,M,49,13
2021,1,M,50,17
2021,1,M,51,12
2021,1,M,52,16
2021,1,M,53,20
2021,1,M,54,18
2021,1,M,55,24
2021,1,M,56,27
2021,1,M,57,30
2021,1,M,58,24
2021,1,M,59,34
2021,1,M,60,25
2021,1,M,61,36
2021,1,M,62,44
2021,1,M,63,43
2021,1,M,64,47
2021,1,M,65,50
2021,1,M,66,53
2021,1,M,67,43
2021,1,M,68,70
2021,1,M,69,56
2021,1,M,70,62
2021,1,M,71,61
2021,1,M,72,79
2021,1,M,73,71
2021,1,M,74,93
2021,1,M,75,111
2021,1,M,76,99
2021,1,M,77,113
2021,1,M,78,104
2021,1,M,79,130
2021,1,M,80,111
2021,1,M,81,133
2021,1,M,82,116
2021,1,M,83,132
2021,1,M,84,175
2021,1,M,85,164
2021,1,M,86,157
2021,1,M,87,162
2021,1,M,88,155
2021,1,M,89,127
2021,1,M,90,145
2021,1,M,91,138
2021,1,M,92,87
2021,1,M,93,100
2021,1,M,94,72
2021,1,M,95,61
2021,1,M,96,38
2021,1,M,97,37
2021,1,M,98,20
2021,1,M,99,15
2021,1,M,100,4
2021,1,M,101,7
2021,1,M,102,4
2021,1,M,103,3
2021,1,M,104,1
2021,2,F,0,7
2021,2,F,6,1
2021,2,F,8,1
2021,2,F,9,2
2021,2,F,13,1
2021,2,F,16,1
2021,2,F,17,3
2021,2,F,20,1
2021,2,F,21,1
2021,2,F,22,1
2021,2,F,24,1
2021,2,F,25,1
2021,2,F,27,2
2021,2,F,28,1
2021,2,F,29,2
2021,2,F,30,1
2021,2,F,31,1
2021,2,F,32,2
2021,2,F,33,2
2021,2,F,34,2
2021,2,F,35,1
2021,2,F,36,1
2021,2,F,37,2
2021,2,F,39,1
2021,2,F,40,2
2021,2,F,41,1
2021,2,F,42,6
2021,2,F,43,2
2021,2,F,44,5
2021,2,F,45,2
2021,2,F,46,2
2021,2,F,47,3
2021,2,F,48,5
2021,2,F,49,3
2021,2,F,50,14
2021,2,F,51,7
2021,2,F,52,4
2021,2,F,53,6
2021,2,F,54,3
2021,2,F,55,9
2021,2,F,56,6
2021,2,F,57,11
2021,2,F,58,7
2021,2,F,59,16
2021,2,F,60,18
2021,2,F,61,13
2021,2,F,62,13
2021,2,F,63,16
2021,2,F,64,20
2021,2,F,65,23
2021,2,F,66,21
2021,2,F,67,27
2021,2,F,68,25
2021,2,F,69,33
2021,2,F,70,26
2021,2,F,71,41
2021,2,F,72,32
2021,2,F,73,41
2021,2,F,74,51
2021,2,F,75,45
2021,2,F,76,42
2021,2,F,77,72
2021,2,F,78,47
2021,2,F,79,70
2021,2,F,80,74
2021,2,F,81,86
2021,2,F,82,69
2021,2,F,83,85
2021,2,F,84,93
2021,2,F,85,106
2021,2,F,86,122
2021,2,F,87,114
2021,2,F,88,125
2021,2,F,89,137
2021,2,F,90,148
2021,2,F,91,129
2021,2,F,92,114
2021,2,F,93,99
2021,2,F,94,111
2021,2,F,95,93
2021,2,F,96,69
2021,2,F,97,63
2021,2,F,98,39
2021,2,F,99,38
2021,2,F,100,20
2021,2,F,101,16
2021,2,F,102,4
2021,2,F,103,4
2021,2,F,104,3
2021,2,F,105,4
2021,2,F,107,1
2021,2,M,0,10
2021,2,M,1,1
2021,2,M,7,2
2021,2,M,13,1
2021,2,M,15,2
2021,2,M,16,2
2021,2,M,17,1
2021,2,M,18,2
2021,2,M,19,1
2021,2,M,20,1
2021,2,M,21,3
2021,2,M,22,1
2021,2,M,23,2
2021,2,M,24,2
2021,2,M,26,1
2021,2,M,27,2
2021,2,M,28,4
2021,2,M,29,1
2021,2,M,30,1
2021,2,M,31,1
2021,2,M,32,3
2021,2,M,34,1
2021,2,M,35,3
2021,2,M,36,2
2021,2,M,37,2
2021,2,M,38,1
2021,2,M,39,3
2021,2,M,40,7
2021,2,M,41,6
2021,2,M,42,2
2021,2,M,43,8
2021,2,M,44,5
2021,2,M,45,5
2021,2,M,46,10
2021,2,M,47,6
2021,2,M,48,7
2021,2,M,49,9
2021,2,M,50,9
2021,2,M,51,7
2021,2,M,52,6
2021,2,M,53,12
2021,2,M,54,17
2021,2,M,55,17
2021,2,M,56,15
2021,2,M,57,18
2021,2,M,58,21
2021,2,M,59,25
2021,2,M,60,35
2021,2,M,61,32
2021,2,M,62,35
2021,2,M,63,36
2021,2,M,64,37
2021,2,M,65,42
2021,2,M,66,51
2021,2,M,67,39
2021,2,M,68,38
2021,2,M,69,32
2021,2,M,70,51
2021,2,M,71,38
2021,2,M,72,64
2021,2,M,73,56
2021,2,M,74,46
2021,2,M,75,73
2021,2,M,76,84
2021,2,M,77,82
2021,2,M,78,80
2021,2,M,79,88
2021,2,M,80,76
2021,2,M,81,69
2021,2,M,82,100
2021,2,M,83,78
2021,2,M,84,87
2021,2,M,85,99
2021,2,M,86,88
2021,2,M,87,87
2021,2,M,88,91
2021,2,M,89,97
2021,2,M,90,83
2021,2,M,91,89
2021,2,M,92,76
2021,2,M,93,63
2021,2,M,94,36
2021,2,M,95,36
2021,2,M,96,30
2021,2,M,97,24
2021,2,M,98,7
2021,2,M,99,8
2021,2,M,100,3
2021,2,M,101,3
2021,2,M,103,1
2021,2,M,104,1
2021,3,F,0,11
2021,3,F,1,1
2021,3,F,2,1
2021,3,F,6,1
2021,3,F,12,2
2021,3,F,16,1
2021,3,F,17,1
2021,3,F,19,1
2021,3,F,22,2
2021,3,F,24,1
2021,3,F,25,3
2021,3,F,26,1
2021,3,F,27,1
2021,3,F,29,2
2021,3,F,30,1
2021,3,F,31,3
2021,3,F,32,1
2021,3,F,33,2
2021,3,F,34,2
2021,3,F,37,1
2021,3,F,38,4
2021,3,F,39,1
2021,3,F,40,5
2021,3,F,41,3
2021,3,F,42,2
2021,3,F,43,1
2021,3,F,44,4
2021,3,F,45,4
2021,3,F,46,4
2021,3,F,47,1
2021,3,F,48,2
2021,3,F,49,4
2021,3,F,50,3
2021,3,F,51,6
2021,3,F,52,5
2021,3,F,53,7
2021,3,F,54,17
2021,3,F,55,12
2021,3,F,56,10
2021,3,F,57,13
2021,3,F,58,17
2021,3,F,59,18
2021,3,F,60,14
2021,3,F,61,14
2021,3,F,62,28
2021,3,F,63,17
2021,3,F,64,20
2021,3,F,65,20
2021,3,F,66,19
2021,3,F,67,24
2021,3,F,68,22
2021,3,F,69,30
2021,3,F,70,29
2021,3,F,71,41
2021,3,F,72,36
2021,3,F,73,49
2021,3,F,74,52
2021,3,F,75,48
2021,3,F,76,51
2021,3,F,77,74
2021,3,F,78,77
2021,3,F,79,68
2021,3,F,80,60
2021,3,F,81,66
2021,3,F,82,75
2021,3,F,83,83
2021,3,F,84,102
2021,3,F,85,119
2021,3,F,86,115
2021,3,F,87,117
2021,3,F,88,138
2021,3,F,89,121
2021,3,F,90,132
2021,3,F,91,116
2021,3,F,92,129
2021,3,F,93,122
2021,3,F,94,105
2021,3,F,95,77
2021,3,F,96,70
2021,3,F,97,58
2021,3,F,98,45
2021,3,F,99,33
2021,3,F,100,21
2021,3,F,101,14
2021,3,F,102,8
2021,3,F,103,5
2021,3,F,104,4
2021,3,F,105,2
2021,3,M,0,15
2021,3,M,3,1
2021,3,M,8,3
2021,3,M,11,1
2021,3,M,14,1
2021,3,M,17,1
2021,3,M,19,1
2021,3,M,20,2
2021,3,M,21,2
2021,3,M,22,1
2021,3,M,24,5
2021,3,M,25,1
2021,3,M,26,1
2021,3,M,27,3
2021,3,M,28,1
2021,3,M,29,1
2021,3,M,30,2
2021,3,M,31,2
2021,3,M,32,1
2021,3,M,34,2
2021,3,M,35,5
2021,3,M,36,4
2021,3,M,37,4
2021,3,M,38,2
2021,3,M,39,1
2021,3,M,40,3
2021,3,M,41,3
2021,3,M,42,5
2021,3,M,43,1
2021,3,M,44,3
2021,3,M,45,6
2021,3,M,46,8
2021,3,M,47,5
2021,3,M,48,10
2021,3,M,49,10
2021,3,M,50,15
2021,3,M,51,15
2021,3,M,52,18
2021,3,M,53,15
2021,3,M,54,19
2021,3,M,55,16
2021,3,M,56,15
2021,3,M,57,27
2021,3,M,58,22
2021,3,M,59,19
2021,3,M,60,21
2021,3,M,61,30
2021,3,M,62,29
2021,3,M,63,36
2021,3,M,64,39
2021,3,M,65,48
2021,3,M,66,23
2021,3,M,67,44
2021,3,M,68,47
2021,3,M,69,39
2021,3,M,70,56
2021,3,M,71,50
2021,3,M,72,61
2021,3,M,73,92
2021,3,M,74,59
2021,3,M,75,69
2021,3,M,76,73
2021,3,M,77,73
2021,3,M,78,80
2021,3,M,79,83
2021,3,M,80,72
2021,3,M,81,101
2021,3,M,82,106
2021,3,M,83,88
2021,3,M,84,84
2021,3,M,85,90
2021,3,M,86,121
2021,3,M,87,104
2021,3,M,88,81
2021,3,M,89,83
2021,3,M,90,96
2021,3,M,91,70
2021,3,M,92,63
2021,3,M,93,58
2021,3,M,94,53
2021,3,M,95,32
2021,3,M,96,25
2021,3,M,97,25
2021,3,M,98,18
2021,3,M,99,7
2021,3,M,100,5
2021,3,M,101,3
2021,3,M,102,1
2021,3,M,103,2
2021,3,M,104,1
2021,3,M,106,1
2021,4,F,0,9
2021,4,F,1,1
2021,4,F,5,2
2021,4,F,15,1
2021,4,F,18,2
2021,4,F,21,1
2021,4,F,27,4
2021,4,F,28,1
2021,4,F,29,1
2021,4,F,33,2
2021,4,F,34,1
2021,4,F,35,2
2021,4,F,37,1
2021,4,F,38,1
2021,4,F,39,1
2021,4,F,40,2
2021,4,F,41,4
2021,4,F,42,3
2021,4,F,43,1
2021,4,F,44,1
2021,4,F,45,3
2021,4,F,46,1
2021,4,F,47,5
2021,4,F,48,4
2021,4,F,49,5
2021,4,F,50,3
2021,4,F,51,8
2021,4,F,52,11
2021,4,F,53,6
2021,4,F,54,10
2021,4,F,55,8
2021,4,F,56,19
2021,4,F,57,12
2021,4,F,58,17
2021,4,F,59,13
2021,4,F,60,19
2021,4,F,61,16
2021,4,F,62,18
2021,4,F,63,19
2021,4,F,64,26
2021,4,F,65,24
2021,4,F,66,13
2021,4,F,67,19
2021,4,F,68,30
2021,4,F,69,26
2021,4,F,70,32
2021,4,F,71,30
2021,4,F,72,36
2021,4,F,73,28
2021,4,F,74,48
