TIME_PERIOD;GEO;AGE;SEX;OBS_VALUE;OBS_STATUS
2020-W01;CH;_T;T;1314;P
2020-W01;CH;_T;F;688;P
2020-W01;CH;_T;M;626;P
2020-W01;CH;Y0T4;T;4;P
2020-W01;CH;Y0T4;F;2;P
2020-W01;CH;Y0T4;M;2;P
2020-W01;CH;Y5T9;T;1;P
2020-W01;CH;Y5T9;F;1;P
2020-W01;CH;Y10T14;T;1;P
2020-W01;CH;Y10T14;M;1;P
2020-W01;CH;Y15T19;T;4;P
2020-W01;CH;Y15T19;F;1;P
2020-W01;CH;Y15T19;M;3;P
2020-W01;CH;Y20T24;T;2;P
2020-W01;CH;Y20T24;M;2;P
2020-W01;CH;Y25T29;T;3;P
2020-W01;CH;Y25T29;M;3;P
2020-W01;CH;Y35T39;T;7;P
2020-W01;CH;Y35T39;F;1;P
2020-W01;CH;Y35T39;M;6;P
2020-W01;CH;Y40T44;T;10;P
2020-W01;CH;Y40T44;F;3;P
2020-W01;CH;Y40T44;M;7;P
2020-W01;CH;Y45T49;T;12;P
2020-W01;CH;Y45T49;F;4;P
2020-W01;CH;Y45T49;M;8;P
2020-W01;CH;Y50T54;T;30;P
2020-W01;CH;Y50T54;F;9;P
2020-W01;CH;Y50T54;M;21;P
2020-W01;CH;Y55T59;T;35;P
2020-W01;CH;Y55T59;F;14;P
2020-W01;CH;Y55T59;M;21;P
2020-W01;CH;Y60T64;T;37;P
2020-W01;CH;Y60T64;F;10;P
2020-W01;CH;Y60T64;M;27;P
2020-W01;CH;Y65T69;T;78;P
2020-W01;CH;Y65T69;F;29;P
2020-W01;CH;Y65T69;M;49;P
2020-W01;CH;Y70T74;T;104;P
2020-W01;CH;Y70T74;F;43;P
2020-W01;CH;Y70T74;M;61;P
2020-W01;CH;Y75T79;T;147;P
2020-W01;CH;Y75T79;F;61;P
2020-W01;CH;Y75T79;M;86;P
2020-W01;CH;Y80T84;T;183;P
2020-W01;CH;Y80T84;F;89;P
2020-W01;CH;Y80T84;M;94;P
2020-W01;CH;Y85T89;T;252;P
2020-W01;CH;Y85T89;F;142;P
2020-W01;CH;Y85T89;M;110;P
2020-W01;CH;Y_GE90;T;404;P
2020-W01;CH;Y_GE90;F;279;P
2020-W01;CH;Y_GE90;M;125;P
2020-W01;CH01;_T;T;220;P
2020-W01;CH01;_T;F;116;P
2020-W01;CH01;_T;M;104;P
2020-W01;CH01;Y10T14;T;1;P
2020-W01;CH01;Y10T14;M;1;P
2020-W01;CH01;Y15T19;T;1;P
2020-W01;CH01;Y15T19;F;1;P
2020-W01;CH01;Y20T24;T;1;P
2020-W01;CH01;Y20T24;M;1;P
2020-W01;CH01;Y25T29;T;1;P
2020-W01;CH01;Y25T29;M;1;P
2020-W01;CH01;Y40T44;T;3;P
2020-W01;CH01;Y40T44;F;2;P
2020-W01;CH01;Y40T44;M;1;P
2020-W01;CH01;Y45T49;T;1;P
2020-W01;CH01;Y45T49;M;1;P
2020-W01;CH01;Y50T54;T;4;P
2020-W01;CH01;Y50T54;F;1;P
2020-W01;CH01;Y50T54;M;3;P
2020-W01;CH01;Y55T59;T;6;P
2020-W01;CH01;Y55T59;F;2;P
2020-W01;CH01;Y55T59;M;4;P
2020-W01;CH01;Y60T64;T;10;P
2020-W01;CH01;Y60T64;F;4;P
2020-W01;CH01;Y60T64;M;6;P
2020-W01;CH01;Y65T69;T;14;P
2020-W01;CH01;Y65T69;F;5;P
2020-W01;CH01;Y65T69;M;9;P
2020-W01;CH01;Y70T74;T;17;P
2020-W01;CH01;Y70T74;F;2;P
2020-W01;CH01;Y70T74;M;15;P
2020-W01;CH01;Y75T79;T;23;P
2020-W01;CH01;Y75T79;F;14;P
2020-W01;CH01;Y75T79;M;9;P
2020-W01;CH01;Y80T84;T;32;P
2020-W01;CH01;Y80T84;F;17;P
2020-W01;CH01;Y80T84;M;15;P
2020-W01;CH01;Y85T89;T;46;P
2020-W01;CH01;Y85T89;F;27;P
2020-W01;CH01;Y85T89;M;19;P
2020-W01;CH01;Y_GE90;T;60;P
2020-W01;CH01;Y_GE90;F;41;P
2020-W01;CH01;Y_GE90;M;19;P
2020-W01;CH02;_T;T;321;P
2020-W01;CH02;_T;F;174;P
2020-W01;CH02;_T;M;147;P
2020-W01;CH02;Y0T4;T;1;P
2020-W01;CH02;Y0T4;M;1;P
2020-W01;CH02;Y5T9;T;1;P
2020-W01;CH02;Y5T9;F;1;P
2020-W01;CH02;Y15T19;T;1;P
2020-W01;CH02;Y15T19;M;1;P
2020-W01;CH02;Y20T24;T;1;P
2020-W01;CH02;Y20T24;M;1;P
2020-W01;CH02;Y35T39;T;1;P
2020-W01;CH02;Y35T39;F;1;P
2020-W01;CH02;Y40T44;T;3;P
2020-W01;CH02;Y40T44;M;3;P
2020-W01;CH02;Y45T49;T;1;P
2020-W01;CH02;Y45T49;M;1;P
2020-W01;CH02;Y50T54;T;7;P
2020-W01;CH02;Y50T54;F;2;P
2020-W01;CH02;Y50T54;M;5;P
2020-W01;CH02;Y55T59;T;5;P
2020-W01;CH02;Y55T59;F;2;P
2020-W01;CH02;Y55T59;M;3;P
2020-W01;CH02;Y60T64;T;8;P
2020-W01;CH02;Y60T64;F;2;P
2020-W01;CH02;Y60T64;M;6;P
2020-W01;CH02;Y65T69;T;23;P
2020-W01;CH02;Y65T69;F;12;P
2020-W01;CH02;Y65T69;M;11;P
2020-W01;CH02;Y70T74;T;25;P
2020-W01;CH02;Y70T74;F;10;P
2020-W01;CH02;Y70T74;M;15;P
2020-W01;CH02;Y75T79;T;45;P
2020-W01;CH02;Y75T79;F;19;P
2020-W01;CH02;Y75T79;M;26;P
2020-W01;CH02;Y80T84;T;41;P
2020-W01;CH02;Y80T84;F;20;P
2020-W01;CH02;Y80T84;M;21;P
2020-W01;CH02;Y85T89;T;60;P
2020-W01;CH02;Y85T89;F;34;P
2020-W01;CH02;Y85T89;M;26;P
2020-W01;CH02;Y_GE90;T;98;P
2020-W01;CH02;Y_GE90;F;71;P
2020-W01;CH02;Y_GE90;M;27;P
2020-W01;CH03;_T;T;197;P
2020-W01;CH03;_T;F;100;P
2020-W01;CH03;_T;M;97;P
2020-W01;CH03;Y25T29;T;1;P
2020-W01;CH03;Y25T29;M;1;P
2020-W01;CH03;Y35T39;T;2;P
2020-W01;CH03;Y35T39;M;2;P
2020-W01;CH03;Y40T44;T;2;P
2020-W01;CH03;Y40T44;F;1;P
2020-W01;CH03;Y40T44;M;1;P
2020-W01;CH03;Y50T54;T;8;P
2020-W01;CH03;Y50T54;F;4;P
2020-W01;CH03;Y50T54;M;4;P
2020-W01;CH03;Y55T59;T;3;P
2020-W01;CH03;Y55T59;F;1;P
2020-W01;CH03;Y55T59;M;2;P
2020-W01;CH03;Y60T64;T;6;P
2020-W01;CH03;Y60T64;F;1;P
2020-W01;CH03;Y60T64;M;5;P
2020-W01;CH03;Y65T69;T;9;P
2020-W01;CH03;Y65T69;F;4;P
2020-W01;CH03;Y65T69;M;5;P
2020-W01;CH03;Y70T74;T;17;P
2020-W01;CH03;Y70T74;F;7;P
2020-W01;CH03;Y70T74;M;10;P
2020-W01;CH03;Y75T79;T;32;P
2020-W01;CH03;Y75T79;F;13;P
2020-W01;CH03;Y75T79;M;19;P
2020-W01;CH03;Y80T84;T;20;P
2020-W01;CH03;Y80T84;F;11;P
2020-W01;CH03;Y80T84;M;9;P
2020-W01;CH03;Y85T89;T;42;P
2020-W01;CH03;Y85T89;F;24;P
2020-W01;CH03;Y85T89;M;18;P
2020-W01;CH03;Y_GE90;T;55;P
2020-W01;CH03;Y_GE90;F;34;P
2020-W01;CH03;Y_GE90;M;21;P
2020-W01;CH04;_T;T;214;P
2020-W01;CH04;_T;F;119;P
2020-W01;CH04;_T;M;95;P
2020-W01;CH04;Y0T4;T;1;P
2020-W01;CH04;Y0T4;F;1;P
2020-W01;CH04;Y35T39;T;2;P
2020-W01;CH04;Y35T39;M;2;P
2020-W01;CH04;Y45T49;T;2;P
2020-W01;CH04;Y45T49;F;1;P
2020-W01;CH04;Y45T49;M;1;P
2020-W01;CH04;Y50T54;T;1;P
2020-W01;CH04;Y50T54;M;1;P
2020-W01;CH04;Y55T59;T;10;P
2020-W01;CH04;Y55T59;F;4;P
2020-W01;CH04;Y55T59;M;6;P
2020-W01;CH04;Y60T64;T;4;P
2020-W01;CH04;Y60T64;M;4;P
2020-W01;CH04;Y65T69;T;11;P
2020-W01;CH04;Y65T69;F;3;P
2020-W01;CH04;Y65T69;M;8;P
2020-W01;CH04;Y70T74;T;20;P
2020-W01;CH04;Y70T74;F;11;P
2020-W01;CH04;Y70T74;M;9;P
2020-W01;CH04;Y75T79;T;16;P
2020-W01;CH04;Y75T79;F;5;P
2020-W01;CH04;Y75T79;M;11;P
2020-W01;CH04;Y80T84;T;33;P
2020-W01;CH04;Y80T84;F;16;P
2020-W01;CH04;Y80T84;M;17;P
2020-W01;CH04;Y85T89;T;39;P
2020-W01;CH04;Y85T89;F;24;P
2020-W01;CH04;Y85T89;M;15;P
2020-W01;CH04;Y_GE90;T;75;P
2020-W01;CH04;Y_GE90;F;54;P
2020-W01;CH04;Y_GE90;M;21;P
2020-W01;CH05;_T;T;180;P
2020-W01;CH05;_T;F;85;P
2020-W01;CH05;_T;M;95;P
2020-W01;CH05;Y0T4;T;2;P
2020-W01;CH05;Y0T4;F;1;P
2020-W01;CH05;Y0T4;M;1;P
2020-W01;CH05;Y25T29;T;1;P
2020-W01;CH05;Y25T29;M;1;P
2020-W01;CH05;Y35T39;T;1;P
2020-W01;CH05;Y35T39;M;1;P
2020-W01;CH05;Y40T44;T;1;P
2020-W01;CH05;Y40T44;M;1;P
2020-W01;CH05;Y45T49;T;4;P
2020-W01;CH05;Y45T49;F;3;P
2020-W01;CH05;Y45T49;M;1;P
2020-W01;CH05;Y50T54;T;5;P
2020-W01;CH05;Y50T54;M;5;P
2020-W01;CH05;Y55T59;T;5;P
2020-W01;CH05;Y55T59;F;2;P
2020-W01;CH05;Y55T59;M;3;P
2020-W01;CH05;Y60T64;T;4;P
2020-W01;CH05;Y60T64;F;1;P
2020-W01;CH05;Y60T64;M;3;P
2020-W01;CH05;Y65T69;T;12;P
2020-W01;CH05;Y65T69;M;12;P
2020-W01;CH05;Y70T74;T;13;P
2020-W01;CH05;Y70T74;F;7;P
2020-W01;CH05;Y70T74;M;6;P
2020-W01;CH05;Y75T79;T;15;P
2020-W01;CH05;Y75T79;F;3;P
2020-W01;CH05;Y75T79;M;12;P
2020-W01;CH05;Y80T84;T;28;P
2020-W01;CH05;Y80T84;F;13;P
2020-W01;CH05;Y80T84;M;15;P
2020-W01;CH05;Y85T89;T;33;P
2020-W01;CH05;Y85T89;F;16;P
2020-W01;CH05;Y85T89;M;17;P
2020-W01;CH05;Y_GE90;T;56;P
2020-W01;CH05;Y_GE90;F;39;P
2020-W01;CH05;Y_GE90;M;17;P
2020-W01;CH06;_T;T;128;P
2020-W01;CH06;_T;F;66;P
2020-W01;CH06;_T;M;62;P
2020-W01;CH06;Y15T19;T;2;P
2020-W01;CH06;Y15T19;M;2;P
2020-W01;CH06;Y35T39;T;1;P
2020-W01;CH06;Y35T39;M;1;P
2020-W01;CH06;Y40T44;T;1;P
2020-W01;CH06;Y40T44;M;1;P
2020-W01;CH06;Y45T49;T;4;P
2020-W01;CH06;Y45T49;M;4;P
2020-W01;CH06;Y50T54;T;3;P
2020-W01;CH06;Y50T54;F;1;P
2020-W01;CH06;Y50T54;M;2;P
2020-W01;CH06;Y55T59;T;5;P
2020-W01;CH06;Y55T59;F;3;P
2020-W01;CH06;Y55T59;M;2;P
2020-W01;CH06;Y60T64;T;5;P
2020-W01;CH06;Y60T64;F;2;P
2020-W01;CH06;Y60T64;M;3;P
2020-W01;CH06;Y65T69;T;4;P
2020-W01;CH06;Y65T69;F;3;P
2020-W01;CH06;Y65T69;M;1;P
2020-W01;CH06;Y70T74;T;7;P
2020-W01;CH06;Y70T74;F;2;P
2020-W01;CH06;Y70T74;M;5;P
2020-W01;CH06;Y75T79;T;10;P
2020-W01;CH06;Y75T79;F;5;P
2020-W01;CH06;Y75T79;M;5;P
2020-W01;CH06;Y80T84;T;16;P
2020-W01;CH06;Y80T84;F;6;P
2020-W01;CH06;Y80T84;M;10;P
2020-W01;CH06;Y85T89;T;25;P
2020-W01;CH06;Y85T89;F;14;P
2020-W01;CH06;Y85T89;M;11;P
2020-W01;CH06;Y_GE90;T;45;P
2020-W01;CH06;Y_GE90;F;30;P
2020-W01;CH06;Y_GE90;M;15;P
2020-W01;CH07;_T;T;54;P
2020-W01;CH07;_T;F;28;P
2020-W01;CH07;_T;M;26;P
2020-W01;CH07;Y50T54;T;2;P
2020-W01;CH07;Y50T54;F;1;P
2020-W01;CH07;Y50T54;M;1;P
2020-W01;CH07;Y55T59;T;1;P
2020-W01;CH07;Y55T59;M;1;P
2020-W01;CH07;Y65T69;T;5;P
2020-W01;CH07;Y65T69;F;2;P
2020-W01;CH07;Y65T69;M;3;P
2020-W01;CH07;Y70T74;T;5;P
2020-W01;CH07;Y70T74;F;4;P
2020-W01;CH07;Y70T74;M;1;P
2020-W01;CH07;Y75T79;T;6;P
2020-W01;CH07;Y75T79;F;2;P
2020-W01;CH07;Y75T79;M;4;P
2020-W01;CH07;Y80T84;T;13;P
2020-W01;CH07;Y80T84;F;6;P
2020-W01;CH07;Y80T84;M;7;P
2020-W01;CH07;Y85T89;T;7;P
2020-W01;CH07;Y85T89;F;3;P
2020-W01;CH07;Y85T89;M;4;P
2020-W01;CH07;Y_GE90;T;15;P
2020-W01;CH07;Y_GE90;F;10;P
2020-W01;CH07;Y_GE90;M;5;P
2020-W02;CH;_T;T;1366;P
2020-W02;CH;_T;F;694;P
2020-W02;CH;_T;M;672;P
2020-W02;CH;Y0T4;T;6;P
2020-W02;CH;Y0T4;F;3;P
2020-W02;CH;Y0T4;M;3;P
2020-W02;CH;Y10T14;T;2;P
2020-W02;CH;Y10T14;F;2;P
2020-W02;CH;Y15T19;T;3;P
2020-W02;CH;Y15T19;F;3;P
2020-W02;CH;Y20T24;T;2;P
2020-W02;CH;Y20T24;F;1;P
2020-W02;CH;Y20T24;M;1;P
2020-W02;CH;Y25T29;T;2;P
2020-W02;CH;Y25T29;F;1;P
2020-W02;CH;Y25T29;M;1;P
2020-W02;CH;Y30T34;T;2;P
2020-W02;CH;Y30T34;M;2;P
2020-W02;CH;Y35T39;T;8;P
2020-W02;CH;Y35T39;F;2;P
2020-W02;CH;Y35T39;M;6;P
2020-W02;CH;Y40T44;T;4;P
2020-W02;CH;Y40T44;F;1;P
2020-W02;CH;Y40T44;M;3;P
2020-W02;CH;Y45T49;T;11;P
2020-W02;CH;Y45T49;F;7;P
2020-W02;CH;Y45T49;M;4;P
2020-W02;CH;Y50T54;T;24;P
2020-W02;CH;Y50T54;F;10;P
2020-W02;CH;Y50T54;M;14;P
2020-W02;CH;Y55T59;T;39;P
2020-W02;CH;Y55T59;F;12;P
2020-W02;CH;Y55T59;M;27;P
2020-W02;CH;Y60T64;T;55;P
2020-W02;CH;Y60T64;F;20;P
2020-W02;CH;Y60T64;M;35;P
2020-W02;CH;Y65T69;T;63;P
2020-W02;CH;Y65T69;F;26;P
2020-W02;CH;Y65T69;M;37;P
2020-W02;CH;Y70T74;T;118;P
2020-W02;CH;Y70T74;F;48;P
2020-W02;CH;Y70T74;M;70;P
2020-W02;CH;Y75T79;T;159;P
2020-W02;CH;Y75T79;F;69;P
2020-W02;CH;Y75T79;M;90;P
2020-W02;CH;Y80T84;T;185;P
2020-W02;CH;Y80T84;F;74;P
2020-W02;CH;Y80T84;M;111;P
2020-W02;CH;Y85T89;T;269;P
2020-W02;CH;Y85T89;F;147;P
2020-W02;CH;Y85T89;M;122;P
2020-W02;CH;Y_GE90;T;414;P
2020-W02;CH;Y_GE90;F;268;P
2020-W02;CH;Y_GE90;M;146;P
2020-W02;CH01;_T;T;231;P
2020-W02;CH01;_T;F;124;P
2020-W02;CH01;_T;M;107;P
2020-W02;CH01;Y15T19;T;1;P
2020-W02;CH01;Y15T19;F;1;P
2020-W02;CH01;Y20T24;T;1;P
2020-W02;CH01;Y20T24;F;1;P
2020-W02;CH01;Y25T29;T;1;P
2020-W02;CH01;Y25T29;F;1;P
2020-W02;CH01;Y40T44;T;1;P
2020-W02;CH01;Y40T44;M;1;P
2020-W02;CH01;Y45T49;T;2;P
2020-W02;CH01;Y45T49;F;2;P
2020-W02;CH01;Y50T54;T;5;P
2020-W02;CH01;Y50T54;F;1;P
2020-W02;CH01;Y50T54;M;4;P
2020-W02;CH01;Y55T59;T;5;P
2020-W02;CH01;Y55T59;F;1;P
2020-W02;CH01;Y55T59;M;4;P
2020-W02;CH01;Y60T64;T;10;P
2020-W02;CH01;Y60T64;F;3;P
2020-W02;CH01;Y60T64;M;7;P
2020-W02;CH01;Y65T69;T;9;P
2020-W02;CH01;Y65T69;F;2;P
2020-W02;CH01;Y65T69;M;7;P
2020-W02;CH01;Y70T74;T;23;P
2020-W02;CH01;Y70T74;F;9;P
2020-W02;CH01;Y70T74;M;14;P
2020-W02;CH01;Y75T79;T;19;P
2020-W02;CH01;Y75T79;F;8;P
2020-W02;CH01;Y75T79;M;11;P
2020-W02;CH01;Y80T84;T;36;P
2020-W02;CH01;Y80T84;F;11;P
2020-W02;CH01;Y80T84;M;25;P
2020-W02;CH01;Y85T89;T;42;P
2020-W02;CH01;Y85T89;F;30;P
2020-W02;CH01;Y85T89;M;12;P
2020-W02;CH01;Y_GE90;T;76;P
2020-W02;CH01;Y_GE90;F;54;P
2020-W02;CH01;Y_GE90;M;22;P
2020-W02;CH02;_T;T;323;P
2020-W02;CH02;_T;F;160;P
2020-W02;CH02;_T;M;163;P
2020-W02;CH02;Y10T14;T;1;P
2020-W02;CH02;Y10T14;F;1;P
2020-W02;CH02;Y30T34;T;1;P
2020-W02;CH02;Y30T34;M;1;P
2020-W02;CH02;Y35T39;T;3;P
2020-W02;CH02;Y35T39;F;1;P
2020-W02;CH02;Y35T39;M;2;P
2020-W02;CH02;Y45T49;T;5;P
2020-W02;CH02;Y45T49;F;3;P
2020-W02;CH02;Y45T49;M;2;P
2020-W02;CH02;Y50T54;T;4;P
2020-W02;CH02;Y50T54;F;3;P
2020-W02;CH02;Y50T54;M;1;P
2020-W02;CH02;Y55T59;T;10;P
2020-W02;CH02;Y55T59;F;6;P
2020-W02;CH02;Y55T59;M;4;P
2020-W02;CH02;Y60T64;T;13;P
2020-W02;CH02;Y60T64;F;4;P
2020-W02;CH02;Y60T64;M;9;P
2020-W02;CH02;Y65T69;T;19;P
2020-W02;CH02;Y65T69;F;8;P
2020-W02;CH02;Y65T69;M;11;P
2020-W02;CH02;Y70T74;T;30;P
2020-W02;CH02;Y70T74;F;13;P
2020-W02;CH02;Y70T74;M;17;P
2020-W02;CH02;Y75T79;T;39;P
2020-W02;CH02;Y75T79;F;20;P
2020-W02;CH02;Y75T79;M;19;P
2020-W02;CH02;Y80T84;T;40;P
2020-W02;CH02;Y80T84;F;15;P
2020-W02;CH02;Y80T84;M;25;P
2020-W02;CH02;Y85T89;T;67;P
2020-W02;CH02;Y85T89;F;31;P
2020-W02;CH02;Y85T89;M;36;P
2020-W02;CH02;Y_GE90;T;91;P
2020-W02;CH02;Y_GE90;F;55;P
2020-W02;CH02;Y_GE90;M;36;P
2020-W02;CH03;_T;T;206;P
2020-W02;CH03;_T;F;99;P
2020-W02;CH03;_T;M;107;P
2020-W02;CH03;Y0T4;T;1;P
2020-W02;CH03;Y0T4;F;1;P
2020-W02;CH03;Y35T39;T;1;P
2020-W02;CH03;Y35T39;M;1;P
2020-W02;CH03;Y45T49;T;1;P
2020-W02;CH03;Y45T49;M;1;P
2020-W02;CH03;Y50T54;T;2;P
2020-W02;CH03;Y50T54;M;2;P
2020-W02;CH03;Y55T59;T;3;P
2020-W02;CH03;Y55T59;M;3;P
2020-W02;CH03;Y60T64;T;8;P
2020-W02;CH03;Y60T64;F;2;P
2020-W02;CH03;Y60T64;M;6;P
2020-W02;CH03;Y65T69;T;13;P
2020-W02;CH03;Y65T69;F;7;P
2020-W02;CH03;Y65T69;M;6;P
2020-W02;CH03;Y70T74;T;22;P
2020-W02;CH03;Y70T74;F;8;P
2020-W02;CH03;Y70T74;M;14;P
2020-W02;CH03;Y75T79;T;25;P
2020-W02;CH03;Y75T79;F;8;P
2020-W02;CH03;Y75T79;M;17;P
2020-W02;CH03;Y80T84;T;19;P
2020-W02;CH03;Y80T84;F;6;P
2020-W02;CH03;Y80T84;M;13;P
2020-W02;CH03;Y85T89;T;36;P
2020-W02;CH03;Y85T89;F;20;P
2020-W02;CH03;Y85T89;M;16;P
2020-W02;CH03;Y_GE90;T;75;P
2020-W02;CH03;Y_GE90;F;47;P
2020-W02;CH03;Y_GE90;M;28;P
2020-W02;CH04;_T;T;228;P
2020-W02;CH04;_T;F;123;P
2020-W02;CH04;_T;M;105;P
2020-W02;CH04;Y0T4;T;2;P
2020-W02;CH04;Y0T4;F;1;P
2020-W02;CH04;Y0T4;M;1;P
2020-W02;CH04;Y10T14;T;1;P
2020-W02;CH04;Y10T14;F;1;P
2020-W02;CH04;Y15T19;T;1;P
2020-W02;CH04;Y15T19;F;1;P
2020-W02;CH04;Y20T24;T;1;P
2020-W02;CH04;Y20T24;M;1;P
2020-W02;CH04;Y25T29;T;1;P
2020-W02;CH04;Y25T29;M;1;P
2020-W02;CH04;Y35T39;T;3;P
2020-W02;CH04;Y35T39;F;1;P
2020-W02;CH04;Y35T39;M;2;P
2020-W02;CH04;Y40T44;T;3;P
2020-W02;CH04;Y40T44;F;1;P
2020-W02;CH04;Y40T44;M;2;P
2020-W02;CH04;Y45T49;T;1;P
2020-W02;CH04;Y45T49;F;1;P
2020-W02;CH04;Y50T54;T;4;P
2020-W02;CH04;Y50T54;F;2;P
2020-W02;CH04;Y50T54;M;2;P
2020-W02;CH04;Y55T59;T;6;P
2020-W02;CH04;Y55T59;F;1;P
2020-W02;CH04;Y55T59;M;5;P
2020-W02;CH04;Y60T64;T;7;P
2020-W02;CH04;Y60T64;F;1;P
2020-W02;CH04;Y60T64;M;6;P
2020-W02;CH04;Y65T69;T;5;P
2020-W02;CH04;Y65T69;F;2;P
2020-W02;CH04;Y65T69;M;3;P
2020-W02;CH04;Y70T74;T;18;P
2020-W02;CH04;Y70T74;F;10;P
2020-W02;CH04;Y70T74;M;8;P
2020-W02;CH04;Y75T79;T;24;P
2020-W02;CH04;Y75T79;F;13;P
2020-W02;CH04;Y75T79;M;11;P
2020-W02;CH04;Y80T84;T;35;P
2020-W02;CH04;Y80T84;F;18;P
2020-W02;CH04;Y80T84;M;17;P
2020-W02;CH04;Y85T89;T;41;P
2020-W02;CH04;Y85T89;F;21;P
2020-W02;CH04;Y85T89;M;20;P
2020-W02;CH04;Y_GE90;T;75;P
2020-W02;CH04;Y_GE90;F;49;P
2020-W02;CH04;Y_GE90;M;26;P
2020-W02;CH05;_T;T;186;P
2020-W02;CH05;_T;F;91;P
2020-W02;CH05;_T;M;95;P
2020-W02;CH05;Y0T4;T;1;P
2020-W02;CH05;Y0T4;M;1;P
2020-W02;CH05;Y15T19;T;1;P
2020-W02;CH05;Y15T19;F;1;P
2020-W02;CH05;Y30T34;T;1;P
2020-W02;CH05;Y30T34;M;1;P
2020-W02;CH05;Y45T49;T;2;P
2020-W02;CH05;Y45T49;F;1;P
2020-W02;CH05;Y45T49;M;1;P
2020-W02;CH05;Y50T54;T;5;P
