Provincias;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM53;13
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM52;24
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM51;32
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM50;19
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM49;27
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM48;21
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM47;20
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM46;20
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM45;14
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM44;14
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM43;18
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM42;23
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM41;16
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM40;18
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM39;26
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM38;27
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM37;18
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM36;10
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM35;30
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM34;16
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM33;11
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM32;23
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM31;27
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM30;35
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM29;24
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM28;18
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM27;22
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM26;25
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM25;21
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM24;21
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM23;21
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM22;29
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM21;10
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM20;13
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM19;27
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM18;12
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM17;27
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM16;28
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM15;30
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM14;20
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM13;15
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM12;24
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM11;22
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM10;26
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM09;24
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM08;29
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM07;27
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM06;33
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM05;30
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM04;31
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM03;26
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM02;33
Total Nacional;Total;De 0 a 4 años;Dato base;2020SM01;21
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM53;2
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM52;7
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM51;1
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM50;0
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM49;0
