"country_code" "sex" "age_group" "epi_year" "earlier_death_counts" "later_death_counts"
"1" "DNK" "Female" "[0,15)" "2007/2008" 108 39
"2" "DNK" "Female" "[0,15)" "2008/2009" 110 49
"3" "DNK" "Female" "[0,15)" "2009/2010" 97 56
"4" "DNK" "Female" "[0,15)" "2010/2011" 84 49
"5" "DNK" "Female" "[0,15)" "2011/2012" 90 37
"6" "DNK" "Female" "[0,15)" "2012/2013" 88 45
"7" "DNK" "Female" "[0,15)" "2013/2014" 93 31
"8" "DNK" "Female" "[0,15)" "2014/2015" 95 44
"9" "DNK" "Female" "[0,15)" "2015/2016" 87 30
"10" "DNK" "Female" "[0,15)" "2016/2017" 85 40
"11" "DNK" "Female" "[0,15)" "2017/2018" 85 34
"12" "DNK" "Female" "[0,15)" "2018/2019" 83 37
"13" "DNK" "Female" "[0,15)" "2019/2020" 74 29
"14" "DNK" "Female" "[15,65)" "2007/2008" 2913 1255
"15" "DNK" "Female" "[15,65)" "2008/2009" 2829 1165
"16" "DNK" "Female" "[15,65)" "2009/2010" 2669 1162
"17" "DNK" "Female" "[15,65)" "2010/2011" 2603 1103
"18" "DNK" "Female" "[15,65)" "2011/2012" 2475 1073
"19" "DNK" "Female" "[15,65)" "2012/2013" 2363 1043
"20" "DNK" "Female" "[15,65)" "2013/2014" 2176 976
"21" "DNK" "Female" "[15,65)" "2014/2015" 2206 990
"22" "DNK" "Female" "[15,65)" "2015/2016" 2205 931
"23" "DNK" "Female" "[15,65)" "2016/2017" 2256 911
"24" "DNK" "Female" "[15,65)" "2017/2018" 2065 910
"25" "DNK" "Female" "[15,65)" "2018/2019" 2090 905
"26" "DNK" "Female" "[15,65)" "2019/2020" 1905 868
"27" "DNK" "Female" "[65,75)" "2007/2008" 2820 1295
"28" "DNK" "Female" "[65,75)" "2008/2009" 2930 1261
"29" "DNK" "Female" "[65,75)" "2009/2010" 2913 1360
"30" "DNK" "Female" "[65,75)" "2010/2011" 2909 1230
"31" "DNK" "Female" "[65,75)" "2011/2012" 2916 1358
"32" "DNK" "Female" "[65,75)" "2012/2013" 3040 1281
"33" "DNK" "Female" "[65,75)" "2013/2014" 2807 1336
"34" "DNK" "Female" "[65,75)" "2014/2015" 3019 1358
"35" "DNK" "Female" "[65,75)" "2015/2016" 3018 1299
"36" "DNK" "Female" "[65,75)" "2016/2017" 3119 1273
"37" "DNK" "Female" "[65,75)" "2017/2018" 3133 1385
"38" "DNK" "Female" "[65,75)" "2018/2019" 3127 1336
"39" "DNK" "Female" "[65,75)" "2019/2020" 2945 1302
"40" "DNK" "Female" "[75,85)" "2007/2008" 5698 2382
"41" "DNK" "Female" "[75,85)" "2008/2009" 5534 2374
"42" "DNK" "Female" "[75,85)" "2009/2010" 5325 2384
"43" "DNK" "Female" "[75,85)" "2010/2011" 5276 2265
"44" "DNK" "Female" "[75,85)" "2011/2012" 5014 2234
"45" "DNK" "Female" "[75,85)" "2012/2013" 5320 2170
"46" "DNK" "Female" "[75,85)" "2013/2014" 4701 2097
"47" "DNK" "Female" "[75,85)" "2014/2015" 4977 2134
"48" "DNK" "Female" "[75,85)" "2015/2016" 4805 2163
"49" "DNK" "Female" "[75,85)" "2016/2017" 4941 2166
"50" "DNK" "Female" "[75,85)" "2017/2018" 5103 2316
"51" "DNK" "Female" "[75,85)" "2018/2019" 5090 2279
"52" "DNK" "Female" "[75,85)" "2019/2020" 5156 2427
"53" "DNK" "Female" "85+" "2007/2008" 7938 3478
"54" "DNK" "Female" "85+" "2008/2009" 8356 3472
"55" "DNK" "Female" "85+" "2009/2010" 7873 3465
"56" "DNK" "Female" "85+" "2010/2011" 8065 3388
"57" "DNK" "Female" "85+" "2011/2012" 7847 3358
"58" "DNK" "Female" "85+" "2012/2013" 8141 3491
"59" "DNK" "Female" "85+" "2013/2014" 7457 3292
"60" "DNK" "Female" "85+" "2014/2015" 8060 3581
"61" "DNK" "Female" "85+" "2015/2016" 7810 3587
"62" "DNK" "Female" "85+" "2016/2017" 8057 3571
"63" "DNK" "Female" "85+" "2017/2018" 8302 3663
"64" "DNK" "Female" "85+" "2018/2019" 8064 3557
"65" "DNK" "Female" "85+" "2019/2020" 7860 3494
"66" "DNK" "Male" "[0,15)" "2007/2008" 156 74
"67" "DNK" "Male" "[0,15)" "2008/2009" 116 48
"68" "DNK" "Male" "[0,15)" "2009/2010" 108 58
"69" "DNK" "Male" "[0,15)" "2010/2011" 107 44
"70" "DNK" "Male" "[0,15)" "2011/2012" 108 46
"71" "DNK" "Male" "[0,15)" "2012/2013" 104 45
"72" "DNK" "Male" "[0,15)" "2013/2014" 113 47
"73" "DNK" "Male" "[0,15)" "2014/2015" 112 46
"74" "DNK" "Male" "[0,15)" "2015/2016" 108 57
"75" "DNK" "Male" "[0,15)" "2016/2017" 118 47
"76" "DNK" "Male" "[0,15)" "2017/2018" 124 61
"77" "DNK" "Male" "[0,15)" "2018/2019" 96 37
"78" "DNK" "Male" "[0,15)" "2019/2020" 117 55
"79" "DNK" "Male" "[15,65)" "2007/2008" 4724 2035
"80" "DNK" "Male" "[15,65)" "2008/2009" 4578 2010
"81" "DNK" "Male" "[15,65)" "2009/2010" 4458 2001
"82" "DNK" "Male" "[15,65)" "2010/2011" 4298 1767
"83" "DNK" "Male" "[15,65)" "2011/2012" 3917 1696
"84" "DNK" "Male" "[15,65)" "2012/2013" 3815 1714
"85" "DNK" "Male" "[15,65)" "2013/2014" 3655 1668
"86" "DNK" "Male" "[15,65)" "2014/2015" 3649 1562
"87" "DNK" "Male" "[15,65)" "2015/2016" 3618 1548
"88" "DNK" "Male" "[15,65)" "2016/2017" 3480 1563
"89" "DNK" "Male" "[15,65)" "2017/2018" 3367 1591
"90" "DNK" "Male" "[15,65)" "2018/2019" 3312 1380
"91" "DNK" "Male" "[15,65)" "2019/2020" 3304 1359
"92" "DNK" "Male" "[65,75)" "2007/2008" 3951 1790
"93" "DNK" "Male" "[65,75)" "2008/2009" 4120 1757
"94" "DNK" "Male" "[65,75)" "2009/2010" 4011 1823
"95" "DNK" "Male" "[65,75)" "2010/2011" 4211 1811
"96" "DNK" "Male" "[65,75)" "2011/2012" 4164 1885
"97" "DNK" "Male" "[65,75)" "2012/2013" 4290 1927
"98" "DNK" "Male" "[65,75)" "2013/2014" 4158 1943
"99" "DNK" "Male" "[65,75)" "2014/2015" 4403 1978
"100" "DNK" "Male" "[65,75)" "2015/2016" 4376 1983
"101" "DNK" "Male" "[65,75)" "2016/2017" 4403 1984
"102" "DNK" "Male" "[65,75)" "2017/2018" 4512 1956
"103" "DNK" "Male" "[65,75)" "2018/2019" 4599 1954
"104" "DNK" "Male" "[65,75)" "2019/2020" 4396 1986
"105" "DNK" "Male" "[75,85)" "2007/2008" 5638 2389
"106" "DNK" "Male" "[75,85)" "2008/2009" 5751 2430
"107" "DNK" "Male" "[75,85)" "2009/2010" 5540 2390
"108" "DNK" "Male" "[75,85)" "2010/2011" 5427 2305
"109" "DNK" "Male" "[75,85)" "2011/2012" 5422 2354
"110" "DNK" "Male" "[75,85)" "2012/2013" 5558 2387
"111" "DNK" "Male" "[75,85)" "2013/2014" 5137 2250
"112" "DNK" "Male" "[75,85)" "2014/2015" 5224 2343
"113" "DNK" "Male" "[75,85)" "2015/2016" 5355 2388
"114" "DNK" "Male" "[75,85)" "2016/2017" 5580 2479
"115" "DNK" "Male" "[75,85)" "2017/2018" 5788 2690
